,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
11,MutualInfo_p80,7,CatBoost,0.6067,0.5642,0.4363,0.0764,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","n_redo_failed_round, humility_bottomlimit, humility_challenging, n_easier, n_choose_Harder, n_hintsusedat_20, total_hint_time",2.6
12,Pearson_gt0.20,3,SVR_Linear,0.5941,0.5651,0.4375,0.0735,"{'model__epsilon': 0.1, 'model__C': 10.0}","sum_weighted_score, avg_weighted_score, humility_challenging",0.4
13,MutualInfo_p80,7,PLSRegression,0.606,0.5652,0.4335,0.0733,{'model__n_components': 2},"n_redo_failed_round, humility_bottomlimit, humility_challenging, n_easier, n_choose_Harder, n_hintsusedat_20, total_hint_time",0.2
14,Lasso_NonZero,14,CatBoost,0.5984,0.5654,0.4409,0.0725,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 4}","avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, avg_duration_failed_round, main_sum_duration, redo_n_hint, humility_challenging, n_redo, n_easier, n_same, n_veryeasy, n_easy, n_normal, n_hard",7.0
15,Pearson_gt0.20,3,PLSRegression,0.5945,0.5657,0.4379,0.0716,{'model__n_components': 3},"sum_weighted_score, avg_weighted_score, humility_challenging",0.3
16,MutualInfo_p80,7,ElasticNet,0.6037,0.5657,0.4347,0.0715,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","n_redo_failed_round, humility_bottomlimit, humility_challenging, n_easier, n_choose_Harder, n_hintsusedat_20, total_hint_time",0.3
17,MutualInfo_p80,7,Ridge,0.6053,0.5662,0.4335,0.0701,{'model__alpha': 10.0},"n_redo_failed_round, humility_bottomlimit, humility_challenging, n_easier, n_choose_Harder, n_hintsusedat_20, total_hint_time",0.2
18,Lasso_NonZero,14,Lasso,0.5975,0.5662,0.4397,0.0699,{'model__alpha': 0.01},"avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, avg_duration_failed_round, main_sum_duration, redo_n_hint, humility_challenging, n_redo, n_easier, n_same, n_veryeasy, n_easy, n_normal, n_hard",0.3
19,Pearson_gt0.20,3,Ridge,0.5937,0.5663,0.4382,0.0695,{'model__alpha': 10.0},"sum_weighted_score, avg_weighted_score, humility_challenging",0.3
20,MutualInfo_p80,7,Lasso,0.604,0.5664,0.4361,0.0693,{'model__alpha': 0.01},"n_redo_failed_round, humility_bottomlimit, humility_challenging, n_easier, n_choose_Harder, n_hintsusedat_20, total_hint_time",0.2
21,Pearson_gt0.15,4,CatBoost,0.5973,0.5665,0.4417,0.0689,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, humility_challenging",5.1
22,Pearson_gt0.20,3,HuberRegressor,0.5942,0.5665,0.4382,0.0688,"{'model__epsilon': 1.35, 'model__alpha': 0.01}","sum_weighted_score, avg_weighted_score, humility_challenging",0.4
23,MutualInfo_p70,10,CatBoost,0.6004,0.5666,0.439,0.0688,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 50, 'model__depth': 6}","main_success_rate, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_bottomlimit, humility_challenging, n_easier, n_choose_Harder, n_hintsusedat_20, total_hint_time",3.2
24,Pearson_gt0.20,3,SVR_RBF,0.5942,0.5666,0.438,0.0687,"{'model__gamma': 0.01, 'model__epsilon': 0.1, 'model__C': 1.0}","sum_weighted_score, avg_weighted_score, humility_challenging",1.2
25,Lasso_NonZero,14,Ridge,0.5967,0.5667,0.4392,0.0682,{'model__alpha': 100.0},"avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, avg_duration_failed_round, main_sum_duration, redo_n_hint, humility_challenging, n_redo, n_easier, n_same, n_veryeasy, n_easy, n_normal, n_hard",0.3
26,Lasso_NonZero,14,ElasticNet,0.5976,0.5667,0.4404,0.0682,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, avg_duration_failed_round, main_sum_duration, redo_n_hint, humility_challenging, n_redo, n_easier, n_same, n_veryeasy, n_easy, n_normal, n_hard",0.4
27,Spearman_gt0.20,2,CatBoost,0.5958,0.5668,0.4394,0.068,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, avg_weighted_score",3.9
28,Pearson_gt0.20,3,ElasticNet,0.5935,0.5668,0.4381,0.0679,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","sum_weighted_score, avg_weighted_score, humility_challenging",0.3
29,RFE_Ridge_Top20,20,Lasso,0.5965,0.5669,0.4402,0.0678,{'model__alpha': 0.01},"redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, avg_duration_failed_round, main_n_skip, main_sum_duration, main_avg_duration, percent_success_hint_after22, humility_bottomlimit, total_n_hint, main_n_hint, redo_n_hint, n_redo, n_hintsusedat_10, avg_hintsusedat, n_normal, n_hard, total_hint_time",0.5
30,Kendall_gt0.10,5,PLSRegression,0.5972,0.5671,0.4397,0.067,{'model__n_components': 2},"sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",0.3
31,Spearman_gt0.15,5,ElasticNet,0.5956,0.5671,0.4387,0.067,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",0.4
32,Spearman_gt0.15,5,PLSRegression,0.5972,0.5671,0.4397,0.067,{'model__n_components': 2},"sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",0.2
33,Kendall_gt0.10,5,ElasticNet,0.5956,0.5671,0.4387,0.067,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",0.4
34,Pearson_gt0.20,3,Lasso,0.5936,0.5671,0.4381,0.0669,{'model__alpha': 0.01},"sum_weighted_score, avg_weighted_score, humility_challenging",9.8
35,Pearson_gt0.20,3,MLP_Regressor,0.5946,0.5671,0.4433,0.0669,"{'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (64, 32), 'model__alpha': 0.01, 'model__activation': 'tanh'}","sum_weighted_score, avg_weighted_score, humility_challenging",8.5
36,RFE_Ridge_Top20,20,ElasticNet,0.5965,0.5672,0.4407,0.0667,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, avg_duration_failed_round, main_n_skip, main_sum_duration, main_avg_duration, percent_success_hint_after22, humility_bottomlimit, total_n_hint, main_n_hint, redo_n_hint, n_redo, n_hintsusedat_10, avg_hintsusedat, n_normal, n_hard, total_hint_time",1.2
37,MutualInfo_p80,7,MLP_Regressor,0.6097,0.5673,0.4386,0.0663,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","n_redo_failed_round, humility_bottomlimit, humility_challenging, n_easier, n_choose_Harder, n_hintsusedat_20, total_hint_time",9.1
38,Kendall_gt0.10,5,Lasso,0.595,0.5674,0.4383,0.066,{'model__alpha': 0.01},"sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",0.3
39,Spearman_gt0.15,5,Lasso,0.595,0.5674,0.4383,0.066,{'model__alpha': 0.01},"sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",0.3
40,Pearson_gt0.15,4,ElasticNet,0.5939,0.5674,0.4385,0.0659,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, humility_challenging",0.3
41,Pearson_gt0.15,4,Lasso,0.594,0.5674,0.4383,0.066,{'model__alpha': 0.01},"sum_weighted_score, avg_weighted_score, avg_duration_failed_round, humility_challenging",0.2
42,Pearson_gt0.15,4,HuberRegressor,0.5949,0.5677,0.4391,0.0648,"{'model__epsilon': 1.35, 'model__alpha': 0.01}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, humility_challenging",0.3
43,Spearman_gt0.15,5,HuberRegressor,0.5976,0.5677,0.4391,0.065,"{'model__epsilon': 1.35, 'model__alpha': 0.01}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",0.4
44,Kendall_gt0.10,5,HuberRegressor,0.5976,0.5677,0.4391,0.065,"{'model__epsilon': 1.35, 'model__alpha': 0.01}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",0.4
45,Pearson_gt0.15,4,Ridge,0.5943,0.5678,0.4393,0.0646,{'model__alpha': 10.0},"sum_weighted_score, avg_weighted_score, avg_duration_failed_round, humility_challenging",0.2
46,Spearman_gt0.20,2,SVR_RBF,0.5951,0.568,0.4387,0.0641,"{'model__gamma': 0.01, 'model__epsilon': 0.1, 'model__C': 100.0}","sum_weighted_score, avg_weighted_score",1.0
47,Spearman_gt0.15,5,CatBoost,0.5972,0.5682,0.4429,0.0634,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",3.6
48,Kendall_gt0.10,5,CatBoost,0.5972,0.5682,0.4429,0.0634,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",2.8
49,RFE_Ridge_Top20,20,CatBoost,0.5973,0.5682,0.4397,0.0633,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 50, 'model__depth': 6}","redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, avg_duration_failed_round, main_n_skip, main_sum_duration, main_avg_duration, percent_success_hint_after22, humility_bottomlimit, total_n_hint, main_n_hint, redo_n_hint, n_redo, n_hintsusedat_10, avg_hintsusedat, n_normal, n_hard, total_hint_time",10.4
50,MutualInfo_p80,7,RandomForest,0.61,0.5683,0.4412,0.063,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","n_redo_failed_round, humility_bottomlimit, humility_challenging, n_easier, n_choose_Harder, n_hintsusedat_20, total_hint_time",4.1
51,Kendall_gt0.15,3,SVR_RBF,0.5957,0.5683,0.4383,0.0632,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round",1.1
52,RFE_Ridge_Top20,20,Ridge,0.5971,0.5684,0.441,0.0626,{'model__alpha': 100.0},"redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, avg_duration_failed_round, main_n_skip, main_sum_duration, main_avg_duration, percent_success_hint_after22, humility_bottomlimit, total_n_hint, main_n_hint, redo_n_hint, n_redo, n_hintsusedat_10, avg_hintsusedat, n_normal, n_hard, total_hint_time",0.5
53,RF_Importance_med,16,Lasso,0.5971,0.5684,0.441,0.0627,{'model__alpha': 0.01},"redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, main_sum_duration, main_avg_duration, total_n_hint, n_redo, n_easier, n_hintsusedat_10, n_hintsusedat_20, avg_hintsusedat, n_easy, total_hint_time",0.3
54,RF_Importance_p80,7,CatBoost,0.5954,0.5688,0.44,0.0614,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, main_sum_duration, main_avg_duration, avg_hintsusedat, total_hint_time",3.8
55,Pearson_gt0.20,3,RandomForest,0.6081,0.5688,0.4463,0.0613,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, avg_weighted_score, humility_challenging",7.1
56,Lasso_NonZero,14,HuberRegressor,0.599,0.5689,0.4408,0.0611,"{'model__epsilon': 2.0, 'model__alpha': 0.01}","avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, avg_duration_failed_round, main_sum_duration, redo_n_hint, humility_challenging, n_redo, n_easier, n_same, n_veryeasy, n_easy, n_normal, n_hard",0.5
57,Kendall_gt0.15,3,MLP_Regressor,0.5955,0.569,0.4426,0.0609,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round",10.9
58,Kendall_gt0.10,5,MLP_Regressor,0.6019,0.569,0.4409,0.0607,"{'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (64, 32), 'model__alpha': 0.01, 'model__activation': 'tanh'}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",7.4
59,Spearman_gt0.15,5,MLP_Regressor,0.6019,0.569,0.4409,0.0607,"{'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (64, 32), 'model__alpha': 0.01, 'model__activation': 'tanh'}","sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",13.1
60,RF_Importance_med,16,ElasticNet,0.597,0.5691,0.4421,0.0604,"{'model__l1_ratio': 0.7, 'model__alpha': 0.01}","redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, main_sum_duration, main_avg_duration, total_n_hint, n_redo, n_easier, n_hintsusedat_10, n_hintsusedat_20, avg_hintsusedat, n_easy, total_hint_time",0.4
61,RF_Importance_med,16,Ridge,0.5975,0.5691,0.4406,0.0605,{'model__alpha': 100.0},"redo_success, total_success, sum_weighted_score, avg_weighted_score, n_skip_hint_under22_reverse, percent_redo_duration_failedround, main_sum_duration, main_avg_duration, total_n_hint, n_redo, n_easier, n_hintsusedat_10, n_hintsusedat_20, avg_hintsusedat, n_easy, total_hint_time",0.3
62,Spearman_gt0.20,2,HuberRegressor,0.595,0.5692,0.4386,0.0601,"{'model__epsilon': 1.1, 'model__alpha': 0.01}","sum_weighted_score, avg_weighted_score",0.4
63,Kendall_gt0.10,5,Ridge,0.596,0.5692,0.4409,0.06,{'model__alpha': 100.0},"sum_weighted_score, avg_weighted_score, avg_duration_failed_round, n_redo_failed_round, humility_challenging",0.3
